iter	Passed	Remaining
0	3	59
1	6	55
2	9	54
3	12	51
4	16	49
5	20	46
6	23	43
7	26	40
8	30	36
9	33	33
10	36	30
11	40	26
12	43	23
13	47	20
14	50	16
15	53	13
16	56	10
17	59	6
18	63	3
19	66	0
