iter	MultiClass
521	0.2570238711
522	0.2562626278
523	0.2557732749
524	0.2553302526
525	0.2548674748
526	0.2545678492
527	0.2542289974
528	0.2537691554
529	0.2534696259
530	0.2532315703
531	0.2530293702
532	0.2525709798
533	0.2523060507
534	0.2520244331
535	0.251605993
536	0.2510904361
537	0.2507247294
538	0.2505579529
539	0.2501875392
540	0.24972152
541	0.249512973
542	0.2491417906
543	0.2489284358
544	0.2486627502
545	0.2482848659
546	0.2480081924
547	0.2477592511
548	0.2470405614
549	0.2465599536
550	0.2464485144
551	0.2459276318
552	0.2456706905
553	0.245480386
554	0.2452441856
555	0.2449263979
556	0.2446649489
557	0.2443341019
558	0.2439454049
559	0.2434607605
560	0.2432396996
561	0.2429901372
562	0.2424353122
563	0.2420906231
564	0.2415845733
565	0.2412345663
566	0.2410275562
567	0.2404483588
568	0.2402926701
569	0.2400365319
570	0.2396431686
571	0.2392370399
572	0.2387081823
573	0.2384956813
574	0.2379918257
575	0.2377845808
576	0.2375995725
577	0.2373257223
578	0.2372340399
579	0.2369483301
580	0.2366342906
581	0.2363346435
582	0.2360192079
583	0.2356647585
584	0.2355973415
585	0.2352993909
586	0.2351208435
587	0.2347753718
588	0.2343246853
589	0.23406045
590	0.233946314
591	0.2336890444
592	0.2332628723
593	0.2330590825
594	0.2326290812
595	0.2320186963
596	0.2316018249
597	0.2312811851
598	0.2309683665
599	0.2306427274
600	0.2303397247
601	0.2299286435
602	0.2293461261
603	0.2289308913
604	0.2286518007
605	0.2283594976
606	0.2280628973
607	0.2279422616
608	0.2276503373
609	0.2272298315
610	0.2270331988
611	0.2269312636
612	0.2267158114
613	0.2263384455
614	0.2258445095
615	0.2253880827
616	0.2252263388
617	0.2248968538
618	0.2248081896
619	0.2247246997
620	0.2244164232
621	0.2241767301
622	0.2238725318
623	0.2237934359
624	0.2236202274
625	0.2234353962
626	0.2232485655
627	0.2230248364
628	0.222877898
629	0.2224864839
630	0.2223089901
631	0.2221075013
632	0.2217235364
633	0.2215133105
634	0.2213437896
635	0.2211691997
636	0.2207741956
637	0.220370487
638	0.2201271552
639	0.2197877831
640	0.2194685504
641	0.2188563513
642	0.2185254571
643	0.2181161702
644	0.2176527656
645	0.2175355769
646	0.2173007406
647	0.2168419592
648	0.2165209816
649	0.2162788874
650	0.2158772626
651	0.2155315376
652	0.2151990076
653	0.2147878672
654	0.2145679156
655	0.2142134022
656	0.2140086732
657	0.2135185257
658	0.213164574
659	0.212879298
660	0.2125337434
661	0.2120937497
662	0.2117649931
663	0.2112681159
664	0.2109074591
665	0.210589555
666	0.2102819262
667	0.2099916425
668	0.2098435154
669	0.2094299383
670	0.209141713
671	0.2088202126
672	0.2086533307
673	0.2084361326
674	0.2079636376
675	0.2076784079
676	0.2074575706
677	0.2073587677
678	0.2067851007
679	0.2066058723
680	0.2064598399
681	0.2063175262
682	0.2060411056
683	0.2058780917
684	0.2054952186
685	0.2052674316
686	0.2051342701
687	0.2048786294
688	0.2046434138
689	0.2042048597
690	0.2038691365
691	0.2035240792
692	0.2033137542
693	0.2027941838
694	0.2023246113
695	0.2022352428
696	0.2017387215
697	0.2013358888
698	0.2010557046
699	0.2007724996
700	0.200386962
701	0.2000602331
702	0.1998575142
703	0.1995666091
704	0.1992273672
705	0.1991287742
706	0.1989336903
707	0.1987370313
708	0.1981958962
709	0.1979171757
710	0.1974836808
711	0.1972471865
712	0.1968043953
713	0.1966043357
714	0.1963318174
715	0.1961040946
716	0.1958160096
717	0.1956323835
718	0.1955000235
719	0.1951557464
720	0.1948306508
721	0.1945270538
722	0.1941980903
723	0.193968622
724	0.1937654024
725	0.1935531196
726	0.1933373739
727	0.1930809247
728	0.1929268199
729	0.1928326417
730	0.19275004
731	0.1925877818
732	0.1922042961
733	0.1918863058
734	0.1917298449
735	0.1913981262
736	0.191176842
737	0.1908697218
738	0.1905576525
739	0.1902301683
740	0.1899999838
741	0.1896514661
742	0.1894752607
743	0.1891726133
744	0.1888425066
745	0.18875792
746	0.1885481622
747	0.1883500545
748	0.1880868613
749	0.1876457192
750	0.1873458143
751	0.1871419985
752	0.186666646
753	0.1864522479
754	0.1860618292
755	0.1859203203
756	0.1855611086
757	0.1853769207
758	0.1851455126
759	0.1848010234
760	0.1845148223
761	0.1842839828
762	0.1840413368
763	0.1839506137
764	0.1838285778
765	0.1835506258
766	0.1833342085
767	0.1831662771
768	0.1829714107
769	0.182755013
770	0.1823717285
771	0.1821606618
772	0.1820369369
773	0.1819561234
774	0.1817072922
775	0.1815574624
776	0.1814156962
777	0.1812956104
778	0.1811787147
779	0.1809956752
780	0.1808444747
781	0.1805962876
782	0.1803551665
783	0.18025103
784	0.1800947246
785	0.1799645274
786	0.1796291778
787	0.1793606047
788	0.1790722201
789	0.1788216999
790	0.1784581891
791	0.1782054903
792	0.1779673527
793	0.177585421
794	0.1771940916
795	0.1770484054
796	0.1768688959
797	0.1767216607
798	0.1763979871
799	0.1762588915
800	0.176032237
801	0.175816885
802	0.1754776259
803	0.1751471528
804	0.1749602485
805	0.1747942284
806	0.1745519028
807	0.1744511554
808	0.1743738154
809	0.1742372675
810	0.1741197127
811	0.1738840013
812	0.1736088696
813	0.173324102
814	0.1730670232
815	0.1728908168
816	0.1727352498
817	0.1725699715
818	0.1724745656
819	0.1721460995
820	0.1719987352
821	0.1718299859
822	0.1716618133
823	0.171432693
824	0.1711749802
825	0.1709174835
826	0.1707345172
827	0.1704823696
828	0.1702941734
829	0.1701132057
830	0.1698616877
831	0.1697091605
832	0.1694047098
833	0.1689896397
834	0.168856081
835	0.16872882
836	0.1683396559
837	0.1680601731
838	0.1677160572
839	0.1675264837
840	0.1674067208
841	0.1673266135
842	0.1669915657
843	0.1669234742
844	0.1668215654
845	0.1666551587
846	0.166487738
847	0.1663430334
848	0.166167885
849	0.1659854249
850	0.165827734
851	0.1656696435
852	0.1654495197
853	0.1651801645
854	0.1647765378
855	0.1647106951
856	0.1645505423
857	0.1644035227
858	0.1641732601
859	0.1639786671
860	0.163788828
861	0.1634739248
862	0.1633411792
863	0.1630684739
864	0.162837091
865	0.1626962319
866	0.1624441392
867	0.1623333614
868	0.1621996997
869	0.1619273725
870	0.1618357609
871	0.1615935933
872	0.1614489915
873	0.1611833662
874	0.1610075623
875	0.1607955511
876	0.1606053577
877	0.1604175232
878	0.1602679629
879	0.160018695
880	0.159790125
881	0.1596971114
882	0.1595215118
883	0.159273947
884	0.1590498851
885	0.1587541116
886	0.1586377973
887	0.158407161
888	0.1579853069
889	0.1576795424
890	0.1575234302
891	0.1574431033
892	0.1573253008
893	0.1571044718
894	0.1569802269
895	0.1568721148
896	0.1566982888
897	0.1563642984
898	0.1561875942
899	0.1560091194
900	0.155803845
901	0.1556433871
902	0.1553856025
903	0.1550892553
904	0.1550058005
905	0.1548217056
906	0.1547557988
907	0.154489974
908	0.1542527742
909	0.1540137173
910	0.153804651
911	0.1537104961
912	0.1535991283
913	0.1532823665
914	0.1532333236
915	0.1529712854
916	0.1527324877
917	0.1525181372
918	0.1523418761
919	0.1521715626
920	0.1519116792
921	0.1518132368
922	0.1517761339
923	0.1516437629
924	0.1515696216
925	0.1514278915
926	0.1512039406
927	0.1510907427
928	0.1508747217
929	0.1506394912
930	0.1505821766
931	0.1504880907
932	0.1503306953
933	0.1501296964
934	0.1499377498
935	0.1498269223
936	0.1496927571
937	0.1494781656
938	0.1493213311
939	0.149225542
940	0.1490515206
941	0.1488606151
942	0.1486454728
943	0.1485411258
944	0.1484569694
945	0.1482682191
946	0.1481615568
947	0.1480391657
948	0.1478954134
949	0.1477412879
950	0.1475342924
951	0.1473409678
952	0.1472476767
953	0.1471279573
954	0.1468979328
955	0.1467356413
956	0.1466269463
957	0.1464792485
958	0.1462695613
959	0.1461606163
960	0.1459809848
961	0.145859975
962	0.1456699307
963	0.145563235
964	0.1452142159
965	0.1450145844
966	0.1447982279
967	0.144718826
968	0.1444838414
969	0.1443686747
970	0.1442539113
971	0.1442215707
972	0.1439965447
973	0.1438344934
974	0.1437300376
975	0.1435814994
976	0.143290139
977	0.1430422134
978	0.1428548955
979	0.1425570614
980	0.1422507932
981	0.1420485854
982	0.1418491481
983	0.1415712818
984	0.1414631864
985	0.1414192997
986	0.1411396877
987	0.1409310975
988	0.1406450526
989	0.140476632
990	0.1403242162
991	0.1402409733
992	0.1401259172
993	0.1400387274
994	0.1398339173
995	0.1397874074
996	0.1396264437
997	0.139455376
998	0.1393745945
999	0.1391798857
