iter	Passed	Remaining
465	770	882
466	771	880
467	773	879
468	774	877
469	776	875
470	778	874
471	779	872
472	781	870
473	783	869
474	784	867
475	786	865
476	787	863
477	789	862
478	791	860
479	793	859
480	794	857
481	796	855
482	798	854
483	799	852
484	801	850
485	802	849
486	804	847
487	806	845
488	807	844
489	809	842
490	811	840
491	812	839
492	814	837
493	815	835
494	817	834
495	819	832
496	821	831
497	823	829
498	824	827
499	826	826
500	827	824
501	829	822
502	830	821
503	832	819
504	834	817
505	835	816
506	837	814
507	839	812
508	840	811
509	842	809
510	844	807
511	845	806
512	847	804
513	849	802
514	850	801
515	852	799
516	854	797
517	855	796
518	857	794
519	859	792
520	860	791
521	862	789
522	863	787
523	865	786
524	867	784
525	868	782
526	870	781
527	871	779
528	873	777
529	875	776
530	877	774
531	878	772
532	880	771
533	882	769
534	883	768
535	885	766
536	887	764
537	888	763
538	890	761
539	891	759
540	893	758
541	895	756
542	897	754
543	898	753
544	900	751
545	901	749
546	903	748
547	905	746
548	906	745
549	908	743
550	910	741
551	911	740
552	913	738
553	915	736
554	916	734
555	918	733
556	919	731
557	921	729
558	923	728
559	924	726
560	926	724
561	928	723
562	929	721
563	931	719
564	932	718
565	934	716
566	936	714
567	937	713
568	939	711
569	941	710
570	942	708
571	944	706
572	946	704
573	947	703
574	949	701
575	951	700
576	952	698
577	954	696
578	955	695
579	957	693
580	959	691
581	960	690
582	962	688
583	964	686
584	965	684
585	967	683
586	968	681
587	970	680
588	972	678
589	974	676
590	975	675
591	977	673
592	978	671
593	980	670
594	982	668
595	984	667
596	985	665
597	987	663
598	989	662
599	990	660
600	992	658
601	994	657
602	995	655
603	997	654
604	999	652
605	1000	650
606	1002	649
607	1004	647
608	1005	645
609	1007	644
610	1009	642
611	1010	640
612	1012	639
613	1014	637
614	1015	635
615	1017	634
616	1018	632
617	1020	630
618	1022	629
619	1023	627
620	1025	625
621	1027	624
622	1028	622
623	1030	620
624	1031	619
625	1033	617
626	1035	615
627	1036	614
628	1038	612
629	1039	610
630	1041	608
631	1042	607
632	1044	605
633	1046	603
634	1047	602
635	1049	600
636	1050	598
637	1052	597
638	1053	595
639	1055	593
640	1057	591
641	1058	590
642	1060	588
643	1061	587
644	1063	585
645	1065	583
646	1066	581
647	1068	580
648	1069	578
649	1071	576
650	1073	575
651	1074	573
652	1076	572
653	1078	570
654	1080	568
655	1081	567
656	1083	565
657	1085	564
658	1087	562
659	1088	560
660	1090	559
661	1092	557
662	1093	555
663	1095	554
664	1097	552
665	1098	551
666	1100	549
667	1102	547
668	1103	546
669	1105	544
670	1107	543
671	1109	541
672	1110	539
673	1112	537
674	1113	536
675	1115	534
676	1117	532
677	1118	531
678	1120	529
679	1121	527
680	1123	526
681	1124	524
682	1126	522
683	1128	521
684	1130	519
685	1131	517
686	1133	516
687	1134	514
688	1136	513
689	1138	511
690	1140	509
691	1141	508
692	1143	506
693	1145	504
694	1146	503
695	1148	501
696	1150	499
697	1151	498
698	1153	496
699	1155	495
700	1156	493
701	1158	491
702	1160	490
703	1161	488
704	1163	486
705	1165	485
706	1166	483
707	1168	481
708	1169	480
709	1171	478
710	1173	476
711	1174	475
712	1176	473
713	1178	471
714	1179	470
715	1181	468
716	1183	467
717	1184	465
718	1186	463
719	1187	461
720	1189	460
721	1191	458
722	1192	456
723	1194	455
724	1196	453
725	1197	452
726	1199	450
727	1201	448
728	1202	447
729	1204	445
730	1205	443
731	1207	442
732	1209	440
733	1211	438
734	1212	437
735	1214	435
736	1216	433
737	1217	432
738	1219	430
739	1221	429
740	1222	427
741	1224	425
742	1226	424
743	1227	422
744	1229	420
745	1230	419
746	1232	417
747	1233	415
748	1235	414
749	1237	412
750	1239	410
751	1240	409
752	1242	407
753	1244	405
754	1245	404
755	1247	402
756	1248	400
757	1250	399
758	1252	397
759	1254	396
760	1255	394
761	1257	392
762	1259	391
763	1260	389
764	1262	387
765	1263	386
766	1265	384
767	1267	382
768	1268	381
769	1270	379
770	1272	377
771	1273	376
772	1275	374
773	1276	372
774	1278	371
775	1279	369
776	1281	367
777	1282	366
778	1284	364
779	1285	362
780	1287	361
781	1289	359
782	1290	357
783	1292	356
784	1294	354
785	1295	352
786	1297	351
787	1298	349
788	1300	347
789	1302	346
790	1303	344
791	1305	342
792	1307	341
793	1308	339
794	1310	337
795	1312	336
796	1313	334
797	1315	333
798	1317	331
799	1318	329
800	1320	328
801	1322	326
802	1323	324
803	1325	323
804	1327	321
805	1328	319
806	1330	318
807	1332	316
808	1333	314
809	1336	313
810	1337	311
811	1339	310
812	1340	308
813	1342	306
814	1344	305
815	1345	303
816	1347	301
817	1349	300
818	1350	298
819	1352	296
820	1353	295
821	1355	293
822	1356	291
823	1358	290
824	1360	288
825	1362	286
826	1363	285
827	1365	283
828	1367	282
829	1368	280
830	1370	278
831	1371	277
832	1373	275
833	1375	273
834	1376	272
835	1378	270
836	1380	268
837	1381	267
838	1383	265
839	1384	263
840	1386	262
841	1388	260
842	1389	258
843	1391	257
844	1393	255
845	1394	253
846	1396	252
847	1398	250
848	1399	248
849	1401	247
850	1403	245
851	1405	244
852	1406	242
853	1408	240
854	1409	239
855	1411	237
856	1413	235
857	1414	234
858	1416	232
859	1418	230
860	1419	229
861	1421	227
862	1423	225
863	1424	224
864	1426	222
865	1428	221
866	1430	219
867	1431	217
868	1433	216
869	1434	214
870	1436	212
871	1438	211
872	1439	209
873	1441	207
874	1443	206
875	1445	204
876	1446	202
877	1448	201
878	1450	199
879	1451	197
880	1453	196
881	1454	194
882	1456	192
883	1457	191
884	1459	189
885	1461	187
886	1462	186
887	1464	184
888	1466	183
889	1467	181
890	1469	179
891	1471	178
892	1472	176
893	1474	174
894	1475	173
895	1477	171
896	1479	169
897	1480	168
898	1482	166
899	1483	164
900	1485	163
901	1486	161
902	1488	159
903	1490	158
904	1491	156
905	1493	154
906	1495	153
907	1496	151
908	1498	149
909	1499	148
910	1501	146
911	1503	145
912	1504	143
913	1506	141
914	1508	140
915	1509	138
916	1511	136
917	1513	135
918	1514	133
919	1516	131
920	1517	130
921	1519	128
922	1521	126
923	1522	125
924	1524	123
925	1526	121
926	1527	120
927	1529	118
928	1530	116
929	1532	115
930	1534	113
931	1536	112
932	1537	110
933	1539	108
934	1541	107
935	1542	105
936	1544	103
937	1545	102
938	1547	100
939	1548	98
940	1550	97
941	1552	95
942	1553	93
943	1555	92
944	1557	90
945	1558	88
946	1560	87
947	1561	85
948	1563	84
949	1565	82
950	1566	80
951	1568	79
952	1569	77
953	1571	75
954	1572	74
955	1574	72
956	1576	70
957	1577	69
958	1579	67
959	1580	65
960	1582	64
961	1584	62
962	1585	60
963	1587	59
964	1589	57
965	1590	55
966	1592	54
967	1593	52
968	1595	51
969	1597	49
970	1598	47
971	1600	46
972	1602	44
973	1603	42
974	1605	41
975	1606	39
976	1608	37
977	1610	36
978	1611	34
979	1613	32
980	1615	31
981	1616	29
982	1618	27
983	1620	26
984	1621	24
985	1623	23
986	1625	21
987	1626	19
988	1628	18
989	1630	16
990	1631	14
991	1633	13
992	1634	11
993	1636	9
994	1637	8
995	1639	6
996	1641	4
997	1642	3
998	1644	1
999	1645	0
