iter	Passed	Remaining
0	3	62
1	6	57
2	9	53
3	12	50
4	15	47
5	19	44
6	22	41
7	25	38
8	28	34
9	31	31
10	34	28
11	38	25
12	41	22
13	44	19
14	47	15
15	50	12
16	54	9
17	57	6
18	60	3
19	63	0
