iter	Passed	Remaining
0	3	57
1	6	55
2	9	54
3	12	50
4	15	46
5	19	44
6	22	41
7	25	37
8	28	34
9	31	31
10	34	28
11	37	24
12	40	21
13	43	18
14	46	15
15	49	12
16	52	9
17	55	6
18	58	3
19	61	0
